date,year,temperature,min_temperature,max_temperature,season_year,season,day_in_season
1864-12-23,1864,-3.9,,,1865,1,23
1864-12-24,1864,-6.2,,,1865,1,24
1864-12-25,1864,-7.8,,,1865,1,25
1864-12-26,1864,-7.3,,,1865,1,26
1864-12-27,1864,-7.9,,,1865,1,27
1864-12-28,1864,-6.3,,,1865,1,28
1864-12-29,1864,-2.7,,,1865,1,29
1864-12-30,1864,-3.4,,,1865,1,30
1864-12-31,1864,-2.1,,,1865,1,31
1865-01-01,1865,-1.3,,,1865,1,32
1865-01-02,1865,-0.6,,,1865,1,33
1865-01-03,1865,-1.9,,,1865,1,34
1865-01-04,1865,-1.5,,,1865,1,35
1865-01-05,1865,2.9,,,1865,1,36
1865-01-06,1865,4.9,,,1865,1,37
1865-01-07,1865,0.6,,,1865,1,38
1865-01-08,1865,-0.5,,,1865,1,39
1865-01-09,1865,1.8,,,1865,1,40
1865-01-10,1865,3.1,,,1865,1,41
1865-01-11,1865,2.8,,,1865,1,42
1865-01-12,1865,3.0,,,1865,1,43
1865-01-13,1865,3.5,,,1865,1,44
1865-01-14,1865,6.7,,,1865,1,45
1865-01-15,1865,3.0,,,1865,1,46
1865-01-16,1865,2.8,,,1865,1,47
1865-01-17,1865,1.0,,,1865,1,48
1865-01-18,1865,0.4,,,1865,1,49
1865-01-19,1865,0.2,,,1865,1,50
1865-01-20,1865,0.7,,,1865,1,51
1865-01-21,1865,1.8,,,1865,1,52
1865-01-22,1865,3.6,,,1865,1,53
1865-01-23,1865,0.1,,,1865,1,54
1865-01-24,1865,4.3,,,1865,1,55
1865-01-25,1865,7.2,,,1865,1,56
1865-01-26,1865,7.4,,,1865,1,57
1865-01-27,1865,10.1,,,1865,1,58
1865-01-28,1865,2.0,,,1865,1,59
1865-01-29,1865,-1.6,,,1865,1,60
1865-01-30,1865,1.1,,,1865,1,61
1865-01-31,1865,2.9,,,1865,1,62
1865-02-01,1865,5.2,,,1865,1,63
1865-02-02,1865,6.2,,,1865,1,64
1865-02-03,1865,4.8,,,1865,1,65
1865-02-04,1865,4.1,,,1865,1,66
1865-02-05,1865,0.9,,,1865,1,67
1865-02-06,1865,0.0,,,1865,1,68
1865-02-07,1865,-0.4,,,1865,1,69
1865-02-08,1865,3.3,,,1865,1,70
1865-02-09,1865,-2.0,,,1865,1,71
1865-02-10,1865,-6.9,,,1865,1,72
1865-02-11,1865,-9.9,,,1865,1,73
1865-02-12,1865,-9.6,,,1865,1,74
1865-02-13,1865,-8.1,,,1865,1,75
1865-02-14,1865,-7.8,,,1865,1,76
1865-02-15,1865,-6.1,,,1865,1,77
1865-02-16,1865,-1.9,,,1865,1,78
1865-02-17,1865,2.1,,,1865,1,79
1865-02-18,1865,2.7,,,1865,1,80
1865-02-19,1865,4.3,,,1865,1,81
1865-02-20,1865,0.0,,,1865,1,82
1865-02-21,1865,-0.8,,,1865,1,83
1865-02-22,1865,-1.2,,,1865,1,84
1865-02-23,1865,-1.0,,,1865,1,85
1865-02-24,1865,2.4,,,1865,1,86
1865-02-25,1865,3.7,,,1865,1,87
1865-02-26,1865,4.2,,,1865,1,88
1865-02-27,1865,4.5,,,1865,1,89
1865-02-28,1865,7.2,,,1865,1,90
1865-03-01,1865,5.3,,,1865,2,1
1865-03-02,1865,6.4,,,1865,2,2
1865-03-03,1865,2.9,,,1865,2,3
1865-03-04,1865,1.7,,,1865,2,4
1865-03-05,1865,3.7,,,1865,2,5
1865-03-06,1865,4.8,,,1865,2,6
1865-03-07,1865,3.7,,,1865,2,7
1865-03-08,1865,2.7,,,1865,2,8
1865-03-09,1865,2.3,,,1865,2,9
1865-03-10,1865,2.7,,,1865,2,10
1865-03-11,1865,2.0,,,1865,2,11
1865-03-12,1865,2.5,,,1865,2,12
1865-03-13,1865,2.2,,,1865,2,13
1865-03-14,1865,2.9,,,1865,2,14
1865-03-15,1865,3.1,,,1865,2,15
1865-03-16,1865,1.3,,,1865,2,16
1865-03-17,1865,0.4,,,1865,2,17
1865-03-18,1865,1.8,,,1865,2,18
1865-03-19,1865,1.9,,,1865,2,19
1865-03-20,1865,-2.7,,,1865,2,20
1865-03-21,1865,-3.2,,,1865,2,21
1865-03-22,1865,-0.7,,,1865,2,22
1865-03-23,1865,-1.5,,,1865,2,23
1865-03-24,1865,-0.4,,,1865,2,24
1865-03-25,1865,0.4,,,1865,2,25
1865-03-26,1865,5.3,,,1865,2,26
1865-03-27,1865,1.1,,,1865,2,27
1865-03-28,1865,-2.5,,,1865,2,28
1865-03-29,1865,-1.7,,,1865,2,29
1865-03-30,1865,-1.0,,,1865,2,30
1865-03-31,1865,0.9,,,1865,2,31
1865-04-01,1865,2.1,-0.1,,1865,2,32
1865-04-02,1865,4.4,-3.1,,1865,2,33
1865-04-03,1865,7.3,-0.1,,1865,2,34
1865-04-04,1865,9.4,5.4,,1865,2,35
1865-04-05,1865,10.2,2.2,,1865,2,36
1865-04-06,1865,11.6,6.3,,1865,2,37
1865-04-07,1865,12.1,4.8,,1865,2,38
1865-04-08,1865,12.8,5.9,,1865,2,39
1865-04-09,1865,13.4,6.4,,1865,2,40
1865-04-10,1865,14.4,6.5,,1865,2,41
1865-04-11,1865,15.0,8.9,,1865,2,42
1865-04-12,1865,14.8,6.2,,1865,2,43
1865-04-13,1865,13.8,7.4,,1865,2,44
1865-04-14,1865,13.7,8.6,,1865,2,45
1865-04-15,1865,14.3,11.0,,1865,2,46
1865-04-16,1865,16.2,11.1,,1865,2,47
1865-04-17,1865,16.5,9.3,,1865,2,48
1865-04-18,1865,17.3,9.9,,1865,2,49
1865-04-19,1865,18.2,9.4,,1865,2,50
1865-04-20,1865,17.7,15.9,,1865,2,51
1865-04-21,1865,18.3,11.9,,1865,2,52
1865-04-22,1865,16.1,10.2,,1865,2,53
1865-04-23,1865,15.7,7.8,,1865,2,54
1865-04-24,1865,16.1,7.9,,1865,2,55
1865-04-25,1865,17.7,8.0,,1865,2,56
1865-04-26,1865,18.1,9.0,,1865,2,57
1865-04-27,1865,15.9,7.2,,1865,2,58
1865-04-28,1865,17.3,8.0,,1865,2,59
1865-04-29,1865,13.5,10.6,,1865,2,60
1865-04-30,1865,11.4,4.5,,1865,2,61
1865-05-01,1865,12.5,2.7,,1865,2,62
1865-05-02,1865,13.4,5.7,,1865,2,63
1865-05-03,1865,15.6,6.2,,1865,2,64
1865-05-04,1865,17.7,8.7,,1865,2,65
1865-05-05,1865,19.8,9.4,,1865,2,66
1865-05-06,1865,18.6,14.7,,1865,2,67
1865-05-07,1865,19.4,15.0,,1865,2,68
1865-05-08,1865,19.2,15.9,,1865,2,69
1865-05-09,1865,16.2,11.3,,1865,2,70
1865-05-10,1865,14.4,9.5,,1865,2,71
1865-05-11,1865,13.1,11.0,,1865,2,72
1865-05-12,1865,14.1,7.4,,1865,2,73
1865-05-13,1865,15.7,12.0,,1865,2,74
1865-05-14,1865,18.0,9.9,,1865,2,75
1865-05-15,1865,17.7,13.1,,1865,2,76
1865-05-16,1865,14.2,12.9,,1865,2,77
1865-05-17,1865,15.0,8.1,,1865,2,78
1865-05-18,1865,15.6,11.2,,1865,2,79
1865-05-19,1865,14.9,12.2,,1865,2,80
1865-05-20,1865,17.2,12.3,,1865,2,81
1865-05-21,1865,19.2,12.5,,1865,2,82
1865-05-22,1865,17.6,13.0,,1865,2,83
1865-05-23,1865,19.0,10.6,,1865,2,84
1865-05-24,1865,14.1,11.9,,1865,2,85
1865-05-25,1865,14.0,10.1,,1865,2,86
1865-05-26,1865,16.1,8.9,,1865,2,87
1865-05-27,1865,18.1,9.2,,1865,2,88
1865-05-28,1865,20.3,11.3,,1865,2,89
1865-05-29,1865,19.9,14.2,,1865,2,90
1865-05-30,1865,22.6,13.9,,1865,2,91
1865-05-31,1865,20.3,16.7,,1865,2,92
1865-06-01,1865,21.2,15.9,,1865,3,1
1865-06-02,1865,17.5,15.4,,1865,3,2
1865-06-03,1865,17.7,13.5,,1865,3,3
1865-06-04,1865,16.5,13.1,,1865,3,4
1865-06-05,1865,17.4,13.2,,1865,3,5
1865-06-06,1865,16.7,11.4,,1865,3,6
1865-06-07,1865,19.0,12.9,,1865,3,7
1865-06-08,1865,17.7,13.5,,1865,3,8
1865-06-09,1865,18.5,9.8,,1865,3,9
1865-06-10,1865,21.2,11.4,,1865,3,10
1865-06-11,1865,18.3,15.4,,1865,3,11
1865-06-12,1865,12.9,9.0,,1865,3,12
1865-06-13,1865,13.5,6.0,,1865,3,13
1865-06-14,1865,15.7,6.2,,1865,3,14
1865-06-15,1865,14.8,9.4,,1865,3,15
1865-06-16,1865,16.0,10.9,,1865,3,16
1865-06-17,1865,16.7,7.7,,1865,3,17
1865-06-18,1865,15.0,9.9,,1865,3,18
1865-06-19,1865,16.3,7.8,,1865,3,19
1865-06-20,1865,17.8,7.1,,1865,3,20
1865-06-21,1865,19.7,9.3,,1865,3,21
1865-06-22,1865,20.2,8.8,,1865,3,22
1865-06-23,1865,20.1,12.4,,1865,3,23
1865-06-24,1865,19.5,10.1,,1865,3,24
1865-06-25,1865,17.5,13.1,,1865,3,25
1865-06-26,1865,18.7,8.9,,1865,3,26
1865-06-27,1865,17.6,13.9,,1865,3,27
1865-06-28,1865,17.2,7.1,,1865,3,28
1865-06-29,1865,18.7,7.6,,1865,3,29
1865-06-30,1865,15.6,9.9,,1865,3,30
1865-07-01,1865,15.2,,,1865,3,31
1865-07-02,1865,16.5,,,1865,3,32
1865-07-03,1865,18.1,,,1865,3,33
1865-07-04,1865,19.8,,,1865,3,34
1865-07-05,1865,21.1,,,1865,3,35
1865-07-06,1865,24.1,,,1865,3,36
1865-07-07,1865,24.7,,,1865,3,37
1865-07-08,1865,24.1,,,1865,3,38
1865-07-09,1865,21.2,,,1865,3,39
1865-07-10,1865,16.9,,,1865,3,40
1865-07-11,1865,18.0,,,1865,3,41
1865-07-12,1865,16.0,,,1865,3,42
1865-07-13,1865,16.2,,,1865,3,43
1865-07-14,1865,20.9,,,1865,3,44
1865-07-15,1865,24.1,,,1865,3,45
1865-07-16,1865,26.0,,,1865,3,46
1865-07-17,1865,26.3,17.5,,1865,3,47
1865-07-18,1865,23.9,21.5,,1865,3,48
1865-07-19,1865,24.0,17.5,,1865,3,49
1865-07-20,1865,24.3,18.6,,1865,3,50
1865-07-21,1865,19.6,18.8,,1865,3,51
1865-07-22,1865,19.0,14.6,,1865,3,52
1865-07-23,1865,19.9,13.3,,1865,3,53
1865-07-24,1865,19.8,15.6,,1865,3,54
1865-07-25,1865,20.4,14.5,,1865,3,55
1865-07-26,1865,20.7,17.5,,1865,3,56
1865-07-27,1865,21.7,18.9,,1865,3,57
1865-07-28,1865,20.5,18.8,,1865,3,58
1865-07-29,1865,20.7,16.5,,1865,3,59
1865-07-30,1865,21.0,14.2,,1865,3,60
1865-07-31,1865,20.1,13.3,,1865,3,61
1865-08-01,1865,18.3,17.4,,1865,3,62
1865-08-02,1865,17.0,14.1,,1865,3,63
1865-08-03,1865,14.7,12.6,,1865,3,64
1865-08-04,1865,13.4,11.5,,1865,3,65
1865-08-05,1865,14.7,12.0,,1865,3,66
